,월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상),,,,,,,,,,,,,,,,,,,,,
,,23일,3542,1339,592,1296,197,244,64,239,***,548,146,319,101,240,388,235,388,23,335,,,,,,,,,,,,,,,,,,,,,
,,24일,3533,1284,620,1295,980,238,61,228,***,538,149,308,102,266,389,236,389,31,331,,,,,,,,,,,,,,,,,,,,,
,,25일,3457,1290,595,1290,198,248,61,248,***,522,147,299,127,251,383,231,383,19,322,,,,,,,,,,,,,,,,,,,,,
,,26일,2737,1020,491,1147,99,229,56,184,***,439,119,292,82,153,343,238,343,18,260,,,,,,,,,,,,,,,,,,,,,
,,27일,2468,935,416,981,91,171,37,166,***,494,107,257,84,131,296,208,296,16,219,,,,,,,,,,,,,,,,,,,,,
,,28일,2387,889,410,1054,96,170,24,154,***,435,108,256,81,121,316,207,316,16,229,,,,,,,,,,,,,,,,,,,,,
,,29일,3866,1451,652,1413,191,289,61,284,***,577,160,354,126,254,437,263,437,19,367,,,,,,,,,,,,,,,,,,,,,
,,30일,3742,1377,626,1469,189,278,69,269,***,584,145,334,124,233,416,285,416,20,359,,,,,,,,,,,,,,,,,,,,,
,,평균값,2568,919,405,1029,103,96,40,53,***,203,18,105,32,109,107,42,107,4,126,,,,,,,,,,,,,,,,,,,,,
,,최댓값,4493,1737,812,1571,980,289,69,433,***,584,978,354,145,992,475,288,475,56,418,,,,,,,,,,,,,,,,,,,,,
,,최솟값,1811,601,262,774,56,85,9,82,***,286,40,149,27,68,217,142,217,7,155,,,,,,,,,,,,,,,,,,,,,
